AccNum,geneName
NM_001303625,RPL10
NM_007104,RPL10A
NM_000975,RPL11
NM_000976,RPL12
NM_033251,RPL13
NM_012423,RPL13A
NM_001034996,RPL14
NM_001253384,RPL15
NM_000979,RPL18
NM_000980,RPL18A
NM_001330200,RPL19
NM_001099645,RPL22L1
NM_000978,RPL23
NM_000984,RPL23A
NM_000986,RPL24
NM_001315530,RPL26
NM_001317980,RPL26L1
NM_001349922,RPL27
NM_000990,RPL27A
NM_001136134,RPL28
NM_000992,RPL29
NM_000967,RPL3
NM_000989,RPL30
NM_001098577,RPL31
NM_001007074,RPL32
NM_033625,RPL34
NM_007209,RPL35
NM_001316311,RPL35A
NM_015414,RPL36
NM_001001,RPL36AL
NM_000997,RPL37
NM_000998,RPL37A
NM_000999,RPL38
NM_000968,RPL4
NM_000969,RPL5
NM_001320141,RPL6
NM_000972,RPL7A
NM_198486,RPL7L1
NM_001317782,RPL8
NM_001024921,RPL9
NM_053275,RPLP0
NM_001003,RPLP1
NM_001004,RPLP2
NM_001015,RPS11
NM_001016,RPS12
NM_001017,RPS13
NM_001025071,RPS14
NM_001308226,RPS15
NM_001019,RPS15A
NM_001020,RPS16
NM_022551,RPS18
NM_001321485,RPS19
NM_002952,RPS2
NM_001146227,RPS20
NM_001024,RPS21
NM_001025,RPS23
NM_001142285,RPS24
NM_001028,RPS25
NM_002954,RPS27A
NM_015920,RPS27L
NM_001030001,RPS29
NM_001260506,RPS3
NM_001007,RPS4X
NM_001008,RPS4Y1
NM_001009,RPS5
NM_001010,RPS6
NM_001011,RPS7
NM_001012,RPS8
NM_001321702,RPS9
NM_001304288,RPSA
NM_001997,FAU
NM_006098,RACK1