AccNum,GeneName
NM_001286748,MRPS27
NM_001300900,MRPS34
NM_001318485,MRPL20
NM_001318499,MRPL48
NM_001318770,MRPL14
NM_001321972,MRPS11
NM_001330602,MRPL37
NM_001545,MRPL58
NM_002949,MRPL12
NM_003776,MRPL40
NM_004891,MRPL33
NM_004927,MRPL49
NM_005830,MRPS31
NM_006428,MRPL28
NM_007208,MRPL3
NM_014018,MRPS28
NM_014046,MRPS18B
NM_014078,MRPL13
NM_014161,MRPL18
NM_014175,MRPL15
NM_014180,MRPL22
NM_014763,MRPL19
NM_015950,MRPL2
NM_015969,MRPS17
NM_015971,MRPS7
NM_016034,MRPS2
NM_016065,MRPS16
NM_016067,MRPS18C
NM_016070,MRPS23
NM_016071,MRPS33
NM_016497,MRPL51
NM_016504,MRPL27
NM_016622,MRPL35
NM_016640,MRPS30
NM_017840,MRPL16
NM_018135,MRPS18A
NM_018141,MRPS10
NM_018997,MRPS21
NM_019051,MRPL50
NM_020191,MRPS22
NM_020236,MRPL1
NM_020409,MRPL47
NM_021107,MRPS12
NM_021134,MRPL23
NM_021821,MRPS35
NM_022061,MRPL17
NM_022100,MRPS14
NM_022163,MRPL46
NM_022497,MRPS25
NM_022915,MRPL44
NM_023937,MRPL34
NM_024026,MRPL57
NM_030811,MRPS26
NM_031280,MRPS15
NM_031420,MRPL9
NM_031902,MRPS5
NM_031903,MRPL32
NM_032351,MRPL45
NM_032477,MRPL41
NM_032478,MRPL38
NM_032479,MRPL36
NM_033281,MRPS36
NM_053050,MRPL53
NM_080794,MRPL39
NM_145212,MRPL30
NM_145729,MRPL24
NM_146388,MRPL4
NM_148887,MRPL10
NM_170739,MRPL11
NM_172177,MRPL42
NM_172251,MRPL54
NM_176792,MRPL43
NM_181304,MRPL52
NM_181462,MRPL55
NM_181515,MRPL21
NM_182640,MRPS9